SeqID	Target_Name	UniProt_BELIEVE	UniProt_Literature	UniProt_Match
seq.10000.28	Beta-crystallin B2	P43320	P43320	True
seq.10001.7	RAF proto-oncogene serine/threonine-protein kinase	P04049	P04049	True
seq.10003.15	Zinc finger protein 41	P51814	P51814	True
seq.10006.25	ETS domain-containing protein Elk-1	P19419	P19419	True
seq.10008.43	Guanylyl cyclase-activating protein 1	P43080	P43080	True
seq.10010.10	Beclin-1	Q14457	Q14457	True
seq.10011.65	Inositol polyphosphate 5-phosphatase OCRL-1	Q01968	Q01968	True
seq.10012.5	SAM pointed domain-containing Ets transcription factor	O95238	O95238	True
seq.10014.31	Zinc finger protein SNAI2	O43623	O43623	True
seq.10015.119	Voltage-gated potassium channel subunit beta-2	Q13303	Q13303	True
seq.10022.207	DNA polymerase eta	Q9Y253	Q9Y253	True
seq.10023.32	Vitamin D3 receptor	P11473	P11473	True
seq.10024.44	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	Q86XE5	Q86XE5	True
seq.10025.1	Dihydrolipoyl dehydrogenase, mitochondrial	P09622	P09622	True
seq.10030.8	Adenine DNA glycosylase	Q9UIF7	Q9UIF7	True
seq.10035.6	Dual specificity protein phosphatase 4	Q13115	Q13115	True
seq.10036.201	Zinc fingers and homeoboxes protein 3	Q9H4I2	Q9H4I2	True
seq.10037.98	Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long	Q96PQ1	Q96PQ1	True
seq.10039.32	Purine nucleoside phosphorylase	P00491	P00491	True
seq.10040.63	Tumor protein 63	Q9H3D4	Q9H3D4	True
seq.10041.3	Hepatocyte nuclear factor 4-alpha	P41235	P41235	True
seq.10042.8	Serine/threonine-protein kinase Sgk3	Q96BR1	Q96BR1	True
seq.10043.31	Bromodomain-containing protein 4	O60885	O60885	True
seq.10044.12	Protein Wnt-10a	Q9GZT5	Q9GZT5	True
seq.10045.47	Cullin-3	Q13618	Q13618	True
seq.10046.55	Baculoviral IAP repeat-containing protein 2	Q13490	Q13490	True
seq.10047.12	Neutrophil cytosol factor 2	P19878	P19878	True
seq.10048.7	Core-binding factor subunit beta	Q13951	Q13951	True
seq.10049.112	Telomeric repeat-binding factor 1	P54274	P54274	True
seq.10053.5	Integrin-linked protein kinase	Q13418	Q13418	True
seq.10054.3	Gigaxonin	Q9H2C0	Q9H2C0	True
seq.10056.5	Forkhead box protein M1	Q08050	Q08050	True
seq.10058.1	UV excision repair protein RAD23 homolog A	P54725	P54725	True
seq.10063.10	E3 ubiquitin-protein ligase FANCL	Q9NW38	Q9NW38	True
seq.10064.12	Putative hydrolase RBBP9	O75884	O75884	True
seq.10069.2	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	Q13526	Q13526	True
seq.10070.22	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	P16885	P16885	True
seq.10073.22	Tyrosyl-DNA phosphodiesterase 1	Q9NUW8	Q9NUW8	True
seq.10074.128	Bromodomain-containing protein 2	P25440	P25440	True
seq.10075.75	Acyl-CoA-binding domain-containing protein 6	Q9BR61	Q9BR61	True
seq.10076.1	AP-4 complex subunit mu-1	O00189	O00189	True
seq.10078.5	BAG family molecular chaperone regulator 3	O95817	O95817	True
seq.10080.9	Translation initiation factor eIF-2B subunit alpha	Q14232	Q14232	True
seq.10081.17	DNA-binding protein SATB2	Q9UPW6	Q9UPW6	True
seq.10082.251	Neurofilament light polypeptide	P07196	P07196	True
seq.10085.25	Steroidogenic acute regulatory protein, mitochondrial	P49675	P49675	True
seq.10086.39	Cystathionine beta-synthase	P35520	P35520	True
seq.10087.10	Alpha-crystallin A chain	P02489	P02489	True
seq.10088.37	Adenine phosphoribosyltransferase	P07741	P07741	True
seq.10089.7	N-acetylserotonin O-methyltransferase-like protein	O95671	O95671	True
seq.10336.3	E3 ubiquitin-protein ligase CHIP	Q9UNE7	Q9UNE7	True
seq.10339.48	Gamma-enolase	P09104	P09104	True
seq.10342.55	E3 SUMO-protein ligase PIAS4	Q8N2W9	Q8N2W9	True
seq.10344.334	Interleukin-10 receptor subunit alpha	Q13651	Q13651	True
seq.10346.5	Signal transducer and activator of transcription 3	P40763	P40763	True
seq.10351.51	Interferon regulatory factor 1	P10914	P10914	True
seq.10354.57	Signal transducer and activator of transcription 3	P40763	P40763	True
seq.10356.21	Transcription factor AP-1	P05412	P05412	True
seq.10361.25	2'-5'-oligoadenylate synthase 1	P00973	P00973	True
seq.10362.35	Myc proto-oncogene protein	P01106	P01106	True
seq.10363.13	Mothers against decapentaplegic homolog 3	P84022	P84022	True
seq.10364.6	Mothers against decapentaplegic homolog 2	Q15796	Q15796	True
seq.10365.132	Interleukin-23	P29460|Q9NPF7	P29460|Q9NPF7	True
seq.10366.11	Platelet-derived growth factor receptor alpha	P16234	P16234	True
seq.10367.62	Interleukin-12	P29459|P29460	P29459|P29460	True
seq.10370.21	Signal transducer and activator of transcription 1-alpha/beta	P42224	P42224	True
seq.10372.18	Signal transducer and activator of transcription 6	P42226	P42226	True
seq.10382.1	Angiopoietin-related protein 3	Q9Y5C1	Q9Y5C1	True
seq.10390.21	E3 ubiquitin-protein ligase ZNRF3	Q9ULT6	Q9ULT6	True
seq.10391.1	Angiopoietin-related protein 3	Q9Y5C1	Q9Y5C1	True
seq.10396.6	Induced myeloid leukemia cell differentiation protein Mcl-1	Q07820	Q07820	True
seq.10398.110	Ankyrin repeat domain-containing protein 1	Q15327	Q15327	True
seq.10418.36	Syntaxin-12	Q86Y82	Q86Y82	True
seq.10419.1	Scavenger receptor class A member 5	Q6ZMJ2	Q6ZMJ2	True
seq.10420.30	Fas apoptotic inhibitory molecule 1	Q9NVQ4	Q9NVQ4	True
seq.10424.31	Neural proliferation differentiation and control protein 1	Q9NQX5	Q9NQX5	True
seq.10425.3	Beta-1,4-galactosyltransferase 5	O43286	O43286	True
seq.10426.21	Golgi SNAP receptor complex member 2	O14653	O14653	True
seq.10428.1	Killer cell immunoglobulin-like receptor 2DS2	P43631	P43631	True
seq.10430.31	4F2 cell-surface antigen heavy chain:Cytoplasmic domain	P08195	P08195	True
seq.10432.3	Uncharacterized protein KIAA1644	Q3SXP7	Q3SXP7	True
seq.10435.2	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	P20933	P20933	True
seq.10438.19	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	P15509	P15509	True
seq.10439.57	Alpha-amylase 2B	P19961	P19961	True
seq.10440.26	CXADR-like membrane protein:Extracellular domain	Q9H6B4	Q9H6B4	True
seq.10442.1	Transmembrane protein 190	Q8WZ59	Q8WZ59	True
seq.10445.20	Apolipoprotein M	O95445	O95445	True
seq.10447.18	Polyadenylate-binding protein 3	Q9H361	Q9H361	True
seq.10449.31	Protein shisa-2 homolog	Q6UWI4	Q6UWI4	True
seq.10451.11	Nucleobindin-1	Q02818	Q02818	True
seq.10453.7	Carcinoembryonic antigen-related cell adhesion molecule 20	Q6UY09	Q6UY09	True
seq.10454.99	DnaJ homolog subfamily C member 16	Q9Y2G8	Q9Y2G8	True
seq.10455.196	Interleukin-31	Q6EBC2	Q6EBC2	True
