trait_tissue	trait_desc	trait_seqid	trait_gene_ids	trait_protein_ids	notes_sex	notes_source_id	notes_maker	notes_maker_platform_technology	notes_maker_platform_description	notes_maker_platform_version
Plasma	Beta-crystallin B2	10000-28	ENSG00000244752	P43320	combined	seq.10000.28	Somalogic	proteomics	SomaScan	7k
Plasma	RAF proto-oncogene serine/threonine-protein kinase	10001-7	ENSG00000132155	P04049	combined	seq.10001.7	Somalogic	proteomics	SomaScan	7k
Plasma	Zinc finger protein 41	10003-15	ENSG00000147124	P51814	combined	seq.10003.15	Somalogic	proteomics	SomaScan	7k
Plasma	ETS domain-containing protein Elk-1	10006-25	ENSG00000126767	P19419	combined	seq.10006.25	Somalogic	proteomics	SomaScan	7k
Plasma	Guanylyl cyclase-activating protein 1	10008-43	ENSG00000048545	P43080	combined	seq.10008.43	Somalogic	proteomics	SomaScan	7k
Plasma	Beclin-1	10010-10	ENSG00000126581	Q14457	combined	seq.10010.10	Somalogic	proteomics	SomaScan	7k
Plasma	Inositol polyphosphate 5-phosphatase OCRL-1	10011-65	ENSG00000122126	Q01968	combined	seq.10011.65	Somalogic	proteomics	SomaScan	7k
Plasma	SAM pointed domain-containing Ets transcription factor	10012-5	ENSG00000124664	O95238	combined	seq.10012.5	Somalogic	proteomics	SomaScan	7k
Plasma	Zinc finger protein SNAI2	10014-31	ENSG00000019549	O43623	combined	seq.10014.31	Somalogic	proteomics	SomaScan	7k
Plasma	Voltage-gated potassium channel subunit beta-2	10015-119	ENSG00000069424	Q13303	combined	seq.10015.119	Somalogic	proteomics	SomaScan	7k
Plasma	DNA polymerase eta	10022-207	ENSG00000170734	Q9Y253	combined	seq.10022.207	Somalogic	proteomics	SomaScan	7k
Plasma	Vitamin D3 receptor	10023-32	ENSG00000111424	P11473	combined	seq.10023.32	Somalogic	proteomics	SomaScan	7k
Plasma	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	10024-44	ENSG00000241935	Q86XE5	combined	seq.10024.44	Somalogic	proteomics	SomaScan	7k
Plasma	Dihydrolipoyl dehydrogenase, mitochondrial	10025-1	ENSG00000091140	P09622	combined	seq.10025.1	Somalogic	proteomics	SomaScan	7k
Plasma	Adenine DNA glycosylase	10030-8	ENSG00000132781	Q9UIF7	combined	seq.10030.8	Somalogic	proteomics	SomaScan	7k
Plasma	Dual specificity protein phosphatase 4	10035-6	ENSG00000120875	Q13115	combined	seq.10035.6	Somalogic	proteomics	SomaScan	7k
Plasma	Zinc fingers and homeoboxes protein 3	10036-201	ENSG00000174306	Q9H4I2	combined	seq.10036.201	Somalogic	proteomics	SomaScan	7k
Plasma	Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long	10037-98	ENSG00000254521	Q96PQ1	combined	seq.10037.98	Somalogic	proteomics	SomaScan	7k
Plasma	Purine nucleoside phosphorylase	10039-32	ENSG00000198805	P00491	combined	seq.10039.32	Somalogic	proteomics	SomaScan	7k
Plasma	Tumor protein 63	10040-63	ENSG00000073282	Q9H3D4	combined	seq.10040.63	Somalogic	proteomics	SomaScan	7k
Plasma	Hepatocyte nuclear factor 4-alpha	10041-3	ENSG00000101076	P41235	combined	seq.10041.3	Somalogic	proteomics	SomaScan	7k
Plasma	Serine/threonine-protein kinase Sgk3	10042-8	ENSG00000104205	Q96BR1	combined	seq.10042.8	Somalogic	proteomics	SomaScan	7k
Plasma	Bromodomain-containing protein 4	10043-31	ENSG00000141867	O60885	combined	seq.10043.31	Somalogic	proteomics	SomaScan	7k
Plasma	Protein Wnt-10a	10044-12	ENSG00000135925	Q9GZT5	combined	seq.10044.12	Somalogic	proteomics	SomaScan	7k
Plasma	Cullin-3	10045-47	ENSG00000036257	Q13618	combined	seq.10045.47	Somalogic	proteomics	SomaScan	7k
Plasma	Baculoviral IAP repeat-containing protein 2	10046-55	ENSG00000110330	Q13490	combined	seq.10046.55	Somalogic	proteomics	SomaScan	7k
Plasma	Neutrophil cytosol factor 2	10047-12	ENSG00000116701	P19878	combined	seq.10047.12	Somalogic	proteomics	SomaScan	7k
Plasma	Core-binding factor subunit beta	10048-7	ENSG00000067955	Q13951	combined	seq.10048.7	Somalogic	proteomics	SomaScan	7k
Plasma	Telomeric repeat-binding factor 1	10049-112	ENSG00000147601	P54274	combined	seq.10049.112	Somalogic	proteomics	SomaScan	7k
Plasma	Integrin-linked protein kinase	10053-5	ENSG00000166333	Q13418	combined	seq.10053.5	Somalogic	proteomics	SomaScan	7k
Plasma	Gigaxonin	10054-3	ENSG00000261609	Q9H2C0	combined	seq.10054.3	Somalogic	proteomics	SomaScan	7k
Plasma	Forkhead box protein M1	10056-5	ENSG00000111206	Q08050	combined	seq.10056.5	Somalogic	proteomics	SomaScan	7k
Plasma	UV excision repair protein RAD23 homolog A	10058-1	ENSG00000179262	P54725	combined	seq.10058.1	Somalogic	proteomics	SomaScan	7k
Plasma	E3 ubiquitin-protein ligase FANCL	10063-10	ENSG00000115392	Q9NW38	combined	seq.10063.10	Somalogic	proteomics	SomaScan	7k
Plasma	Putative hydrolase RBBP9	10064-12	ENSG00000089050	O75884	combined	seq.10064.12	Somalogic	proteomics	SomaScan	7k
Plasma	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	10069-2	ENSG00000127445	Q13526	combined	seq.10069.2	Somalogic	proteomics	SomaScan	7k
Plasma	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	10070-22	ENSG00000197943	P16885	combined	seq.10070.22	Somalogic	proteomics	SomaScan	7k
Plasma	Tyrosyl-DNA phosphodiesterase 1	10073-22	ENSG00000042088	Q9NUW8	combined	seq.10073.22	Somalogic	proteomics	SomaScan	7k
Plasma	Bromodomain-containing protein 2	10074-128	ENSG00000204256|ENSG00000235307|ENSG00000234507|ENSG00000234704|ENSG00000215077	P25440	combined	seq.10074.128	Somalogic	proteomics	SomaScan	7k
Plasma	Acyl-CoA-binding domain-containing protein 6	10075-75	ENSG00000230124	Q9BR61	combined	seq.10075.75	Somalogic	proteomics	SomaScan	7k
Plasma	AP-4 complex subunit mu-1	10076-1	ENSG00000221838	O00189	combined	seq.10076.1	Somalogic	proteomics	SomaScan	7k
Plasma	BAG family molecular chaperone regulator 3	10078-5	ENSG00000151929	O95817	combined	seq.10078.5	Somalogic	proteomics	SomaScan	7k
Plasma	Translation initiation factor eIF-2B subunit alpha	10080-9	ENSG00000111361	Q14232	combined	seq.10080.9	Somalogic	proteomics	SomaScan	7k
Plasma	DNA-binding protein SATB2	10081-17	ENSG00000119042	Q9UPW6	combined	seq.10081.17	Somalogic	proteomics	SomaScan	7k
Plasma	Neurofilament light polypeptide	10082-251	ENSG00000277586	P07196	combined	seq.10082.251	Somalogic	proteomics	SomaScan	7k
Plasma	Steroidogenic acute regulatory protein, mitochondrial	10085-25	ENSG00000147465	P49675	combined	seq.10085.25	Somalogic	proteomics	SomaScan	7k
Plasma	Cystathionine beta-synthase	10086-39	ENSG00000160200	P35520	combined	seq.10086.39	Somalogic	proteomics	SomaScan	7k
Plasma	Alpha-crystallin A chain	10087-10	ENSG00000160202	P02489	combined	seq.10087.10	Somalogic	proteomics	SomaScan	7k
Plasma	Adenine phosphoribosyltransferase	10088-37	ENSG00000198931	P07741	combined	seq.10088.37	Somalogic	proteomics	SomaScan	7k
Plasma	N-acetylserotonin O-methyltransferase-like protein	10089-7	ENSG00000169093	O95671	combined	seq.10089.7	Somalogic	proteomics	SomaScan	7k
Plasma	E3 ubiquitin-protein ligase CHIP	10336-3	ENSG00000103266	Q9UNE7	combined	seq.10336.3	Somalogic	proteomics	SomaScan	7k
Plasma	Gamma-enolase	10339-48	ENSG00000111674	P09104	combined	seq.10339.48	Somalogic	proteomics	SomaScan	7k
Plasma	E3 SUMO-protein ligase PIAS4	10342-55		Q8N2W9	combined	seq.10342.55	Somalogic	proteomics	SomaScan	7k
Plasma	Interleukin-10 receptor subunit alpha	10344-334	ENSG00000110324	Q13651	combined	seq.10344.334	Somalogic	proteomics	SomaScan	7k
Plasma	Signal transducer and activator of transcription 3	10346-5	ENSG00000168610	P40763	combined	seq.10346.5	Somalogic	proteomics	SomaScan	7k
Plasma	Interferon regulatory factor 1	10351-51	ENSG00000125347	P10914	combined	seq.10351.51	Somalogic	proteomics	SomaScan	7k
Plasma	Signal transducer and activator of transcription 3	10354-57	ENSG00000168610	P40763	combined	seq.10354.57	Somalogic	proteomics	SomaScan	7k
Plasma	Transcription factor AP-1	10356-21	ENSG00000177606	P05412	combined	seq.10356.21	Somalogic	proteomics	SomaScan	7k
Plasma	2'-5'-oligoadenylate synthase 1	10361-25	ENSG00000089127	P00973	combined	seq.10361.25	Somalogic	proteomics	SomaScan	7k
Plasma	Myc proto-oncogene protein	10362-35	ENSG00000136997	P01106	combined	seq.10362.35	Somalogic	proteomics	SomaScan	7k
Plasma	Mothers against decapentaplegic homolog 3	10363-13	ENSG00000166949	P84022	combined	seq.10363.13	Somalogic	proteomics	SomaScan	7k
Plasma	Mothers against decapentaplegic homolog 2	10364-6	ENSG00000175387	Q15796	combined	seq.10364.6	Somalogic	proteomics	SomaScan	7k
Plasma	Interleukin-23	10365-132	ENSG00000113302|ENSG00000110944	P29460|Q9NPF7	combined	seq.10365.132	Somalogic	proteomics	SomaScan	7k
Plasma	Platelet-derived growth factor receptor alpha	10366-11	ENSG00000134853	P16234	combined	seq.10366.11	Somalogic	proteomics	SomaScan	7k
Plasma	Interleukin-12	10367-62	ENSG00000168811|ENSG00000113302	P29459|P29460	combined	seq.10367.62	Somalogic	proteomics	SomaScan	7k
