SeqID	genomic_accession	Entrez_Gene_ID	SomaId	Target_Name	Target_longname	UniProt	Organism	Entrez_Gene_Name	Ensembl_Gene_ID	HGNC_ID	seq_type	CHR_protein	coding_region_start	coding_region_end	STRAND	SOURCE	NOTES
16561-9	NC_000019.10	1.0	SL005720	Alpha-1B-glycoprotein	Alpha-1B-glycoprotein	P04217	Human	A1BG	ENSG00000121410	HGNC:5	chromosome	19	58345183.0	58353492.0	-	NCBI	
19751-21	NC_000020.11	100.0	SL009196	ADA	Adenosine deaminase	P00813	Human	ADA	ENSG00000196839	HGNC:186	chromosome	20	44619522.0	44651699.0	-	NCBI	
3797-1	NC_000018.10	1000.0	SL000638	Cadherin-2	Cadherin-2	P19022	Human	CDH2	ENSG00000170558	HGNC:1759	chromosome	18	27932879.0	28177130.0	-	NCBI	
3392-68	NT_187519.1	10000.0	SL003767	PKB gamma	Protein kinase B gamma	Q9Y243	Human	AKT3	ENSG00000275199|ENSG00000117020	HGNC:393	alternate scaffold	1	500341.0	867542.0	-	NCBI	
3392-68	NC_000001.11	10000.0	SL003767	PKB gamma	Protein kinase B gamma	Q9Y243	Human	AKT3	ENSG00000275199|ENSG00000117020	HGNC:393	chromosome	1	243488233.0	243851079.0	-	NCBI	
20068-61	NC_000023.11	100008586.0	SL020989	GG12F	G antigen 12F	P0CL80	Human	GAGE12F	ENSG00000236362	HGNC:31906	chromosome	23	49560842.0	49568205.0	+	NCBI	
7986-98	NW_019805497.1	10003.0	SL018325	NALD2	N-acetylated-alpha-linked acidic dipeptidase 2	Q9Y3Q0	Human	NAALAD2	ENSG00000077616|ENSG00000285516	HGNC:14526	novel patch	11	37822.0	99017.0	+	NCBI	
7986-98	NC_000011.10	10003.0	SL018325	NALD2	N-acetylated-alpha-linked acidic dipeptidase 2	Q9Y3Q0	Human	NAALAD2	ENSG00000077616|ENSG00000285516	HGNC:14526	chromosome	11	90131699.0	90192894.0	+	NCBI	
17505-125	NC_000011.10	10004.0	SL019672	NALDL	N-acetylated-alpha-linked acidic dipeptidase-like protein	Q9UQQ1	Human	NAALADL1	ENSG00000168060	HGNC:23536	chromosome	11	65044818.0	65061203.0	-	NCBI	
8248-222	NC_000019.10	100049587.0	SL014292	SIG14	Sialic acid-binding Ig-like lectin 14	Q08ET2	Human	SIGLEC14	ENSG00000254415	HGNC:32926	chromosome	19	51639478.0	51646825.0	-	NCBI	
22577-24	NC_000019.10	100049587.0	SL014292	SIG14	Sialic acid-binding Ig-like lectin 14	Q08ET2	Human	SIGLEC14	ENSG00000254415	HGNC:32926	chromosome	19	51639478.0	51646825.0	-	NCBI	
5125-6	NC_000019.10	100049587.0	SL014292	SIG14	Sialic acid-binding Ig-like lectin 14	Q08ET2	Human	SIGLEC14	ENSG00000254415	HGNC:32926	chromosome	19	51639478.0	51646825.0	-	NCBI	
17400-71	NC_000020.11	10005.0	SL019729	ACOT8	Acyl-coenzyme A thioesterase 8	O14734	Human	ACOT8	ENSG00000101473	HGNC:15919	chromosome	20	45841721.0	45857392.0	-	NCBI	
8909-77	NC_000005.10	10007.0	SL018714	GNPI1	Glucosamine-6-phosphate isomerase 1	P46926	Human	GNPDA1	ENSG00000113552	HGNC:4417	chromosome	5	142000671.0	142013027.0	-	NCBI	
8067-21	NC_000011.10	10008.0	SL008371	KCNE3	Potassium voltage-gated channel subfamily E member 3	Q9Y6H6	Human	KCNE3	ENSG00000175538	HGNC:6243	chromosome	11	74454841.0	74467549.0	-	NCBI	
12785-49	NC_000023.11	10009.0	SL009382	KAISO	Transcriptional regulator Kaiso	Q86T24	Human	ZBTB33	ENSG00000177485	HGNC:16682	chromosome	23	120250812.0	120258398.0	+	NCBI	
2643-57	NC_000016.10	1001.0	SL004183	P-Cadherin	Cadherin-3	P22223	Human	CDH3	ENSG00000062038	HGNC:1762	chromosome	16	68645310.0	68733771.0	+	NCBI	
14013-11	NC_000002.12	10010.0	SL015118	TANK	TRAF family member-associated NF-kappa-B activator	Q92844	Human	TANK	ENSG00000136560	HGNC:11562	chromosome	2	161136963.0	161236230.0	+	NCBI	
18220-141	NC_000005.10	10011.0	SL013277	SRA1	Steroid receptor RNA activator 1	Q9HD15	Human	SRA1	ENSG00000213523	HGNC:11281	chromosome	5	140550067.0	140558093.0	-	NCBI	
23335-31	NC_000001.11	100128071.0	SL023778	F229A	Protein FAM229A	H3BQW9	Human	FAM229A	ENSG00000225828	HGNC:44652	chromosome	1	32361270.0	32362485.0	-	NCBI	
21804-15	NC_000006.12	100129128.0	SL022083	KHDCL	Putative KHDC1-like protein	Q5JSQ8	Human	KHDC1L	ENSG00000256980	HGNC:37274	chromosome	6	73223544.0	73225496.0	-	NCBI	
20464-7	NC_000006.12	100129128.0	SL022083	KHDCL	Putative KHDC1-like protein	Q5JSQ8	Human	KHDC1L	ENSG00000256980	HGNC:37274	chromosome	6	73223544.0	73225496.0	-	NCBI	
